W	E1	E2
3515.19	3.07127	0.000200673
3519.94	3.07143	0.000200685
3524.68	3.07128	0.000200697
3529.42	3.07056	0.000200709
3534.16	3.07029	0.00020072
3538.91	3.07054	0.000200731
3543.65	3.07085	0.000200742
3548.39	3.07089	0.000200753
3553.14	3.07081	0.000200763
3557.88	3.07045	0.000200774
3562.62	3.06961	0.000200784
3567.36	3.06915	0.000200793
3572.11	3.06881	0.000200803
3576.85	3.06866	0.000200812
3581.59	3.06879	0.000200821
3586.33	3.06904	0.00020083
3591.08	3.06881	0.000200839
3595.82	3.06815	0.000200847
3600.56	3.06799	0.000200855
3605.31	3.0681	0.000200863
3610.05	3.06842	0.000200871
3614.79	3.06931	0.000200879
3619.53	3.06992	0.000200886
3624.28	3.0698	0.000200893
3629.02	3.06919	0.0002009
3633.76	3.06929	0.000200906
3638.5	3.07004	0.000200913
3643.25	3.06989	0.000200919
3647.99	3.0685	0.000200925
3652.73	3.06786	0.00020093
3657.48	3.06824	0.000200936
3662.22	3.06891	0.000200941
3666.96	3.06869	0.000200946
3671.7	3.06783	0.000200951
3676.45	3.06774	0.000200955
3681.19	3.06825	0.00020096
3685.93	3.06843	0.000200964
3690.68	3.06825	0.000200967
3695.42	3.06815	0.000200971
3700.16	3.06821	0.000200974
3704.9	3.06836	0.000200978
3709.65	3.06833	0.00020098
3714.39	3.06808	0.000200983
3719.13	3.06815	0.000200986
3723.87	3.06842	0.000200988
3728.62	3.06882	0.00020099
3733.36	3.06951	0.000200992
3738.1	3.07018	0.000200993
3742.85	3.07047	0.000200995
3747.59	3.07053	0.000200996
3752.33	3.07104	0.000200997
3757.07	3.07212	0.000200997
3761.82	3.07261	0.000200998
3766.56	3.07257	0.000200998
3771.3	3.07253	0.000200998
3776.05	3.07253	0.000200998
3780.79	3.0725	0.000200997
3785.53	3.07243	0.000200996
3790.27	3.0722	0.000200996
3795.02	3.07246	0.000200994
3799.76	3.07349	0.000200993
3804.5	3.07373	0.000200991
3809.24	3.07291	0.00020099
3813.99	3.07217	0.000200988
3818.73	3.07199	0.000200985
3823.47	3.07206	0.000200983
3828.22	3.07191	0.00020098
3832.96	3.07133	0.000200977
3837.7	3.07179	0.000200974
3842.44	3.0738	0.000200971
3847.19	3.07503	0.000200967
3851.93	3.07542	0.000200963
