W S1
5868.39 76.0321
5881.32 77.3441
5894.24 78.3453
5907.17 79.5979
5920.09 80.9557
5933.02 82.1028
5945.95 83.2641
5958.87 84.6702
5971.8 85.6422
5984.72 87.0765
5997.65 88.4009
6010.58 89.755
6023.5 90.956
6036.43 92.3172
6049.35 93.8739
6062.28 95.1319
6075.21 96.3839
6088.13 97.8112
6101.06 99.1488
6113.98 100.413
6126.91 101.944
6139.84 103.264
6152.76 105.105
6165.69 106.471
6178.61 107.851
6191.54 109.38
6204.47 110.91
6217.39 112.394
6230.32 113.733
6243.24 115.496
6256.17 117.053
6269.1 118.519
6282.02 120.033
6294.95 121.888
6307.87 123.515
6320.8 124.844
6333.73 126.689
6346.65 128.313
6359.58 129.635
6372.5 131.585
6385.43 133.342
6398.35 135.128
6411.28 136.536
6424.21 138.997
6437.13 140.523
6450.06 142.206
6462.98 143.94
6475.91 145.889
6488.84 147.41
6501.76 149.309
6514.69 151.162
6527.61 153.124
6540.54 154.964
6553.47 157.165
6566.39 159.273
6579.32 160.932
6592.24 162.738
6605.17 164.932
6618.1 166.898
6631.02 169.024
6643.95 170.922
6656.87 173.187
6669.8 175.107
6682.73 176.979
6695.65 179.413
6708.58 181.53
6721.5 183.674
6734.43 186.596
6747.36 188.76
6760.28 190.613
6773.21 192.74
6786.13 195.144
6799.06 197.359
6811.99 199.793
6824.91 202.592
6837.84 204.569
6850.76 206.994
6863.69 209.44
6876.62 211.558
6889.54 214.865
6902.47 216.926
6915.39 219.381
6928.32 222.927
6941.25 225.223
6954.17 228.7
6967.1 229.85
6980.02 233.045
6992.95 235.994
7005.88 239.742
7018.8 241.358
7031.73 244.641
7044.65 247.878
7057.58 250.203
7070.51 252.17
7083.43 255.712
7096.36 259.566
7109.28 262.244
7122.21 265.069
7135.14 268.096
7148.06 271.842
7160.99 274.013
7173.91 277.615
7186.84 281.007
7199.76 284.233
7212.69 287.941
7225.62 290.962
7238.54 293.429
7251.47 297.279
7264.39 301.053
7277.32 304.599
7290.25 307.484
7303.17 310.542
7316.1 314.564
7329.02 318.496
7341.95 321.022
7354.88 324.951
7367.8 329.725
7380.73 331.635
7393.65 335.328
7406.58 339.623
7419.51 343.147
7432.43 347.83
7445.36 350.928
7458.28 354.495
7471.21 358.098
7484.14 361.757
7497.06 365.25
7509.99 368.131
7522.91 372.957
7535.84 378.54
7548.77 381.375
7561.69 386.281
7574.62 389.335
7587.54 394.284
7600.47 396.239
7613.4 401.271
7626.32 405.41
7639.25 407.924
7652.17 412.748
7665.1 417.648
7678.03 417.834
7690.95 425.218
7703.88 429.549
7716.8 432.911
7729.73 440.076
7742.66 440.151
7755.58 449.695
7768.51 454.466
7781.43 460.392
7794.36 470.895
7807.29 464.896
7820.21 479.412
7833.14 489.489
7846.06 493.294
7858.99 500.896
7871.92 510.955
7884.84 518.209
7897.77 522.328
7910.69 530.213
7923.62 538.491
7936.55 546.763
7949.47 554.664
7962.4 563.487
7975.32 572.273
7988.25 577.748
8001.18 586.745
8014.1 594.864
8027.03 598.888
8039.95 607.687
8052.88 615.076
8065.8 622.882
8078.73 629.544
8091.66 639.626
8104.58 646.783
8117.51 656.983
8130.43 664.236
8143.36 673.44
8156.29 680.903
8169.21 688.887
8182.14 699.1
8195.06 699.111
8207.99 711.42
8220.92 718.943
8233.84 730.768
8246.77 741.073
8259.69 748.716
8272.62 754.033
8285.55 764.818
8298.47 773.418
8311.4 778.87
8324.32 795.913
8337.25 797.037
8350.18 808.748
8363.1 818.91
8376.03 824.932
8388.95 839.954
8401.88 847.549
8414.81 865.26
8427.73 866.198
8440.66 877.338
8453.58 887.617
8466.51 895.674
8479.44 910.396
8492.36 920.62
8505.29 929.57
8518.21 936.864
8531.14 954.198
8544.07 961.918
8556.99 975.576
8569.92 990.579
8582.84 996.735
8595.77 1009.89
8608.7 1023.57
8621.62 1031.41
8634.55 1038.94
8647.47 1055.98
8660.4 1068.27
8673.33 1071.27
8686.25 1091.99
8699.18 1104.46
8712.1 1112.22
8725.03 1139.56
8737.96 1147.7
8750.88 1159.2
