W E1 E2
4358.92 3.09799 0.0156243
4364.95 3.09825 0.0154193
4370.98 3.09859 0.0152035
4377.01 3.09891 0.0151012
4383.04 3.0991 0.0149605
4389.07 3.09938 0.0146866
4395.1 3.09979 0.0145073
4401.13 3.10007 0.0144528
4407.15 3.10024 0.0142805
4413.18 3.10051 0.0140417
4419.21 3.10083 0.0138676
4425.24 3.10112 0.0137057
4431.27 3.1014 0.0135519
4437.3 3.10166 0.0133918
4443.33 3.10192 0.0132141
4449.36 3.10218 0.013015
4455.39 3.10248 0.0127916
4461.41 3.10284 0.0126287
4467.44 3.10315 0.0124945
4473.47 3.10344 0.0123872
4479.5 3.10368 0.0122757
4485.53 3.10392 0.0120903
4491.56 3.1042 0.011909
4497.59 3.10449 0.0117369
4503.62 3.10479 0.0115718
4509.65 3.1051 0.0114134
4515.68 3.10542 0.0113081
4521.7 3.10567 0.0112238
4527.73 3.1059 0.0110642
4533.76 3.10615 0.0108944
4539.79 3.10644 0.0106982
4545.82 3.10683 0.0105634
4551.85 3.10711 0.0105483
4557.88 3.10726 0.01044
4563.91 3.1075 0.0102545
4569.94 3.10777 0.0100884
4575.96 3.10807 0.00992862
4581.99 3.10835 0.00986352
4588.02 3.10851 0.00977245
4594.05 3.10872 0.00953741
4600.08 3.10902 0.00932706
4606.11 3.10932 0.00915728
4612.14 3.10964 0.00902178
4618.17 3.10993 0.00891048
4624.2 3.1102 0.00879074
4630.23 3.11047 0.00866882
4636.25 3.11074 0.00854315
4642.28 3.11102 0.00841818
4648.31 3.11129 0.0082958
4654.34 3.11158 0.00819092
4660.37 3.11184 0.00811049
4666.4 3.11206 0.00798657
4672.43 3.11233 0.00783654
4678.46 3.11262 0.00776911
4684.49 3.11281 0.00771252
4690.51 3.11301 0.00751898
4696.54 3.1133 0.00734912
4702.57 3.11357 0.00725102
4708.6 3.11378 0.00710814
4714.63 3.11406 0.00691183
4720.66 3.11442 0.00681274
4726.69 3.11469 0.00676295
4732.72 3.11492 0.00663987
4738.75 3.11521 0.00650952
