W T
400.242 0.000351625
400.645 0.000357996
401.048 0.000364459
401.451 0.000371016
401.854 0.000377666
402.257 0.000384411
402.66 0.000391252
403.063 0.000398189
403.466 0.000405225
403.869 0.000412359
404.272 0.000419593
404.676 0.000426927
405.079 0.000434363
405.482 0.000441902
405.885 0.000449545
406.288 0.000457292
406.691 0.000465145
407.094 0.000473104
407.497 0.000481171
407.9 0.000489347
408.303 0.000497632
408.706 0.000506028
409.109 0.000514535
409.512 0.000523156
409.915 0.00053189
410.318 0.000540739
410.721 0.000549703
411.125 0.000558785
411.528 0.000567984
411.931 0.000577303
412.334 0.000586741
412.737 0.0005963
413.14 0.000605981
413.543 0.000615786
413.946 0.000625715
414.349 0.000635769
414.752 0.000645949
415.155 0.000656257
415.558 0.000666693
415.961 0.000677259
416.364 0.000687955
416.767 0.000698784
417.17 0.000709745
417.574 0.00072084
417.977 0.000732069
418.38 0.000743436
418.783 0.000754939
419.186 0.00076658
419.589 0.000778361
419.992 0.000790283
420.395 0.000802346
420.798 0.000814551
421.201 0.000826901
421.604 0.000839396
422.007 0.000852036
422.41 0.000864824
422.813 0.00087776
423.216 0.000890846
423.62 0.000904082
424.023 0.00091747
424.426 0.000931011
424.829 0.000944705
425.232 0.000958555
425.635 0.000972561
426.038 0.000986725
426.441 0.00100105
426.844 0.00101553
427.247 0.00103017
427.65 0.00104498
428.053 0.00105994
428.456 0.00107507
428.859 0.00109037
429.262 0.00110584
429.665 0.00112147
430.069 0.00113727
430.472 0.00115324
430.875 0.00116938
431.278 0.00118569
431.681 0.00120218
432.084 0.00121884
432.487 0.00123568
432.89 0.0012527
433.293 0.00126989
433.696 0.00128726
434.099 0.00130482
434.502 0.00132255
434.905 0.00134047
435.308 0.00135857
435.711 0.00137686
436.114 0.00139533
436.518 0.00141399
436.921 0.00143284
437.324 0.00145188
437.727 0.00147111
438.13 0.00149053
438.533 0.00151015
438.936 0.00152996
439.339 0.00154997
439.742 0.00157017
440.145 0.00159057
440.548 0.00161117
440.951 0.00163197
441.354 0.00165298
441.757 0.00167418
442.16 0.00169559
442.563 0.00171721
442.967 0.00173903
443.37 0.00176106
443.773 0.00178329
444.176 0.00180574
444.579 0.0018284
444.982 0.00185127
445.385 0.00187435
445.788 0.00189765
446.191 0.00192117
446.594 0.0019449
446.997 0.00196885
447.4 0.00199302
447.803 0.0020174
448.206 0.00204201
448.609 0.00206685
449.012 0.00209191
449.416 0.00211719
449.819 0.0021427
450.222 0.00216843
450.625 0.0021944
451.028 0.00222059
451.431 0.00224702
