W E1 E2
2013.75 2.74584 0.102369
2019.78 2.74717 0.100503
2025.81 2.74901 0.0984051
2031.84 2.75103 0.0961162
2037.87 2.75313 0.0937404
2043.9 2.75565 0.0909474
2049.93 2.75875 0.0883241
2055.95 2.76187 0.0859949
2061.98 2.76507 0.0836246
2068.01 2.76854 0.081224
2074.04 2.77229 0.0791354
2080.07 2.77606 0.0771355
2086.1 2.77994 0.0753614
2092.13 2.78409 0.0737236
2098.16 2.78799 0.0726291
2104.19 2.79165 0.0714675
2110.21 2.79541 0.0702065
2116.24 2.79939 0.0692466
2122.27 2.80313 0.0684783
2128.3 2.80679 0.0678282
2134.33 2.81036 0.0672094
2140.36 2.81382 0.0667537
2146.39 2.81713 0.0662925
2152.42 2.82037 0.0658108
2158.45 2.82357 0.065348
2164.47 2.82668 0.0649086
2170.5 2.82972 0.0643782
2176.53 2.83289 0.0637993
2182.56 2.83613 0.0634965
2188.59 2.83914 0.0632307
2194.62 2.84216 0.0628293
2200.65 2.84538 0.0625323
2206.68 2.84843 0.0625116
2212.71 2.85138 0.0625397
2218.73 2.85419 0.0626203
2224.76 2.85692 0.0627508
2230.79 2.85951 0.0629043
2236.82 2.86201 0.0630824
2242.85 2.86442 0.0632777
2248.88 2.86661 0.0635907
2254.91 2.86835 0.0637001
2260.94 2.87033 0.06336
2266.97 2.87252 0.0631333
2272.99 2.87458 0.0630115
2279.02 2.87654 0.0628017
2285.05 2.87849 0.0625594
2291.08 2.88042 0.0621598
2297.11 2.88242 0.0617435
2303.14 2.88448 0.0612902
2309.17 2.88667 0.0609158
2315.2 2.88869 0.0606869
2321.23 2.8905 0.0601773
2327.25 2.89272 0.0594457
2333.28 2.89524 0.0591802
2339.31 2.89745 0.0590574
2345.34 2.89956 0.0589217
2351.37 2.90152 0.0587359
2357.4 2.90364 0.0583236
2363.43 2.90611 0.0581368
2369.46 2.90829 0.0583032
2375.49 2.91028 0.0584456
2381.51 2.91217 0.0585719
2387.54 2.91396 0.0586272
2393.57 2.91569 0.0586641
2399.6 2.9174 0.0585862
2405.63 2.91909 0.0584766
2411.66 2.92089 0.0582536
2417.69 2.92285 0.0581283
2423.72 2.92475 0.0581333
2429.75 2.92668 0.0582389
2435.78 2.92855 0.0584023
2441.8 2.93038 0.0588928
2447.83 2.93174 0.059424
2453.86 2.93301 0.0595798
2459.89 2.93432 0.059735
2465.92 2.93558 0.0598879
2471.95 2.93675 0.0600284
2477.98 2.93778 0.0601549
2484.01 2.93859 0.059892
2490.04 2.93979 0.0594413
2496.06 2.94112 0.0592816
2502.09 2.94217 0.0591289
2508.12 2.94329 0.0586524
2514.15 2.94451 0.0581396
2520.18 2.94595 0.0575408
2526.21 2.94773 0.0572155
2532.24 2.94926 0.0571578
2538.27 2.95071 0.057222
2544.3 2.95188 0.0573354
2550.32 2.95289 0.05716
2556.35 2.95391 0.0569355
2562.38 2.955 0.0565451
2568.41 2.95609 0.0560895
2574.44 2.95736 0.0555049
2580.47 2.95885 0.0550565
2586.5 2.96026 0.0547223
2592.53 2.96168 0.0544054
2598.56 2.9631 0.0540944
2604.58 2.96458 0.0537786
2610.61 2.96628 0.0535416
2616.64 2.96779 0.0536969
2622.67 2.96905 0.0538054
2628.7 2.97025 0.0538359
2634.73 2.97135 0.0537335
2640.76 2.97262 0.0535361
2646.79 2.97399 0.0535643
2652.82 2.97521 0.0536525
2658.84 2.97632 0.053832
2664.87 2.97719 0.0539616
2670.9 2.97807 0.0538969
2676.93 2.97891 0.053794
2682.96 2.97977 0.0536366
2688.99 2.98057 0.0534428
2695.02 2.98131 0.0532268
2701.05 2.98194 0.0526409
2707.08 2.98283 0.0519737
2713.1 2.98392 0.0511719
2719.13 2.98535 0.0504584
2725.16 2.98678 0.0500169
2731.19 2.98826 0.049665
2737.22 2.98967 0.0494214
2743.25 2.99107 0.0492436
2749.28 2.9924 0.0490998
2755.31 2.99372 0.0488967
2761.34 2.99519 0.0487061
2767.36 2.99663 0.0487792
2773.39 2.99804 0.0489244
2779.42 2.99921 0.0492522
2785.45 3.00006 0.0493672
2791.48 3.00113 0.0492618
2797.51 3.00234 0.0493895
2803.54 3.00324 0.0496179
2809.57 3.004 0.0495376
2815.6 3.00479 0.0493925
2821.62 3.00573 0.0489905
2827.65 3.00685 0.0485364
2833.68 3.00843 0.0479725
2839.71 3.01098 0.0486688
2845.74 3.0116 0.0504844
2851.77 3.01076 0.0504473
2857.8 3.01099 0.0497503
2863.83 3.01162 0.0485905
2869.86 3.01308 0.0475025
2875.88 3.01465 0.0469608
2881.91 3.01627 0.0464066
2887.94 3.01818 0.04583
2893.97 3.02065 0.0456618
2900 3.02324 0.0458038
2906.03 3.02625 0.0475548
2912.06 3.02784 0.0497703
2918.09 3.02849 0.0522727
2924.12 3.027 0.0541119
2930.14 3.02674 0.0531303
2936.17 3.02835 0.0528375
2942.2 3.02963 0.0535811
2948.23 3.03103 0.0551099
2954.26 3.03112 0.0571471
2960.29 3.03026 0.0583212
2966.32 3.02886 0.0592486
2972.35 3.02788 0.0579772
2978.38 3.02843 0.0569443
2984.4 3.02899 0.0567088
2990.43 3.02952 0.0564781
2996.46 3.03015 0.0562536
