W E2
3445.88 0.00604733
3451.83 0.00601604
3457.79 0.00598497
3463.74 0.00595412
3469.7 0.00592348
3475.65 0.00589304
3481.61 0.00586282
3487.57 0.0058328
3493.52 0.00580299
3499.48 0.00577338
3505.43 0.00574397
3511.39 0.00571476
3517.34 0.00568575
3523.3 0.00565693
3529.26 0.00562831
3535.21 0.00559988
3541.17 0.00557164
3547.12 0.00554359
3553.08 0.00551574
3559.03 0.00548806
3564.99 0.00546057
3570.95 0.00543327
3576.9 0.00540615
3582.86 0.0053792
3588.81 0.00535244
3594.77 0.00532585
3600.72 0.00529944
3606.68 0.00527321
3612.64 0.00524714
3618.59 0.00522125
3624.55 0.00519553
3630.5 0.00516998
3636.46 0.00514459
3642.41 0.00511937
3648.37 0.00509432
3654.33 0.00506942
3660.28 0.00504469
3666.24 0.00502013
3672.19 0.00499572
3678.15 0.00497146
3684.1 0.00494737
3690.06 0.00492343
3696.02 0.00489964
3701.97 0.00487601
3707.93 0.00485267
3713.88 0.0048369
3719.84 0.00483286
3725.79 0.00484052
3731.75 0.00485985
3737.71 0.00489083
3743.66 0.00493343
3749.62 0.00498762
3755.57 0.00505338
3761.53 0.00513068
3767.48 0.0052195
3773.44 0.00531982
3779.4 0.0054316
3785.35 0.00555483
3791.31 0.00568947
3797.26 0.00583552
3803.22 0.00599294
3809.18 0.00616171
3815.13 0.0063418
3821.09 0.00653321
3827.04 0.0067359
3833 0.00694986
3838.95 0.00717505
3844.91 0.00741147
3850.87 0.00765909
3856.82 0.00791789
3862.78 0.00818785
3868.73 0.00846895
3874.69 0.00876117
3880.64 0.00906449
3886.6 0.00937889
3892.56 0.00970436
3898.51 0.0100409
3904.47 0.0103884
3910.42 0.010747
3916.38 0.0111165
3922.33 0.011497
3928.29 0.0118885
3934.25 0.0122909
3940.2 0.0127043
3946.16 0.0131285
3952.11 0.0135637
3958.07 0.0140097
3964.02 0.0144666
3969.98 0.0149344
3975.94 0.0154129
3981.89 0.0159023
3987.85 0.0164025
3993.8 0.0169135
3999.76 0.0174353
4005.71 0.0179678
4011.67 0.0185111
4017.63 0.0190651
4023.58 0.0196298
4029.54 0.0202053
4035.49 0.0207914
4041.45 0.0213883
4047.4 0.0219958
4053.36 0.022614
4059.32 0.0232428
4065.27 0.0238823
4071.23 0.0245324
4077.18 0.0251931
4083.14 0.0258645
4089.09 0.0265464
4095.05 0.027239
4101.01 0.0279421
4106.96 0.0286558
4112.92 0.0293801
4118.87 0.0301149
4124.83 0.0308603
4130.78 0.0316162
4136.74 0.0323826
4142.7 0.0331596
4148.65 0.0339471
4154.61 0.0347451
4160.56 0.0355536
4166.52 0.0363726
4172.47 0.0372021
4178.43 0.038042
4184.39 0.0388925
4190.34 0.0397534
4196.3 0.0406248
4202.25 0.0415066
4208.21 0.0423989
4214.16 0.0433017
4220.12 0.0442149
4226.08 0.0451385
4232.03 0.0460726
4237.99 0.0470171
4243.94 0.0479721
4249.9 0.0489374
4255.86 0.0499132
4261.81 0.0508994
4267.77 0.0518961
4273.72 0.0529031
4279.68 0.0539206
4285.63 0.0549484
4291.59 0.0559867
4297.55 0.0570353
4303.5 0.0580944
4309.46 0.0591639
4315.41 0.0602438
4321.37 0.0613341
4327.32 0.0624347
4333.28 0.0635458
4339.24 0.0646673
4345.19 0.0657992
4351.15 0.0669414
4357.1 0.0680941
4363.06 0.0692572
4369.01 0.0704307
4374.97 0.0716145
4380.93 0.0728088
4386.88 0.0740135
4392.84 0.0752286
4398.79 0.0764541
4404.75 0.07769
4410.7 0.0789363
4416.66 0.080193
4422.62 0.0814602
4428.57 0.0827377
4434.53 0.0840257
4440.48 0.0853241
4446.44 0.0866329
4452.39 0.0879522
4458.35 0.0892819
4464.31 0.0906221
4470.26 0.0919727
4476.22 0.0933337
4482.17 0.0947052
4488.13 0.0960872
4494.08 0.0974796
4500.04 0.0988825
4506 0.100296
4511.95 0.10172
4517.91 0.103154
4523.86 0.104599
4529.82 0.106054
4535.77 0.10752
4541.73 0.108996
4547.69 0.110483
4553.64 0.11198
4559.6 0.113488
4565.55 0.115007
4571.51 0.116536
4577.46 0.118075
4583.42 0.119625
4589.38 0.121186
4595.33 0.122757
4601.29 0.124339
4607.24 0.125932
4613.2 0.127535
4619.15 0.129148
4625.11 0.130773
4631.07 0.132408
4637.02 0.134053
4642.98 0.135709
4648.93 0.137376
4654.89 0.139054
4660.85 0.140742
4666.8 0.142441
4672.76 0.144151
4678.71 0.145871
4684.67 0.147602
4690.62 0.149344
4696.58 0.151097
4702.54 0.15286
4708.49 0.154634
4714.45 0.156419
4720.4 0.158215
4726.36 0.160021
4732.31 0.161839
4738.27 0.163667
4744.23 0.165506
4750.18 0.167356
4756.14 0.169216
4762.09 0.171088
4768.05 0.172971
4774 0.174864
4779.96 0.176769
4785.92 0.178684
4791.87 0.18061
4797.83 0.182548
4803.78 0.184496
4809.74 0.186455
4815.69 0.188426
